TUFF	Blocks.page1.items.13	0.474	Mixed	3526	2	2.02	1	0.5	0.51	2
COOKED_PORKCHOP	Food.page1.items.14	0.186	Demand	311	6.3	7.13	13.17	1.58	1.82	15.19
GLOWSTONE	Blocks.page1.items.14	0.601	Mixed	781	29.4	28.15	-4.25	7.35	6.99	-4.9
BROWN_MUSHROOM	Farming.page1.items.6	0.995	Supply	188	2	1.58	-21	0.5	0.38	-24
NETHER_WART	Farming.page1.items.19	0.219	Demand	265	3	3.35	11.67	0.75	0.85	13.33
HAY_BLOCK	Blocks.page1.items.3	0.884	Supply	181	47.25	39.63	-16.13	1.82	1.48	-18.68
HOPPER	Redstone.page1.items.5	0.061	Demand	147	38.67	45.8	18.44	3.67	4.44	20.98
BOOKSHELF	Blocks.page1.items.38	0.551	Mixed	635	119.12	116.57	-2.14	5.78	5.64	-2.42
POTATO	Farming.page1.items.21	0.768	Supply	142	5	4.44	-11.2	1.25	1.09	-12.8
CACTUS	Farming.page1.items.7	0.974	Supply	77	0.1	0.08	-20	0.03	0.02	-33.33
STONE_BRICKS	Blocks.page1.items.165	0.424	Mixed	337	0.75	0.77	2.67	0.19	0.2	5.26
DROPPER	Redstone.page1.items.4	0.027	Demand	73	8.68	10.4	19.82	2.17	2.66	22.58
PISTON	Redstone.page1.items.22	0.015	Demand	65	15.8	19.02	20.38	3.95	4.87	23.29
MAGMA_CREAM	Mobs.page1.items.10	0.113	Demand	71	8.01	9.31	16.23	2.01	2.38	18.41
BEETROOT_SEEDS	Farming.page1.items.5	1	Supply	55	3	2.37	-21	0.75	0.57	-24
PUMPKIN_SEEDS	Farming.page1.items.23	0.807	Supply	83	1.19	1.04	-12.61	0.3	0.26	-13.33
FEATHER	Mobs.page1.items.6	0.488	Mixed	506	6	6.03	0.5	1.5	1.51	0.67
COOKED_CHICKEN	Food.page1.items.12	0.363	Mixed	113	6.3	6.66	5.71	1.58	1.68	6.33
JUKEBOX	Redstone.page1.items.7	1	Supply	25	64.39	50.87	-21	6.1	4.64	-23.93
TARGET	Redstone.page1.items.15	1	Supply	15	64.32	50.81	-21	16.08	12.22	-24
REPEATER	Redstone.page1.items.18	0.125	Demand	16	14.92	17.27	15.75	3.73	4.4	17.96
BAMBOO_BLOCK	Blocks.page1.items.19	0.867	Supply	15	0.95	0.8	-15.79	0.24	0.2	-16.67
DISPENSER	Redstone.page1.items.3	0	Demand	11	33.74	40.83	21.01	4.44	5.51	24.1
